	SITE_ID	INDUSTRY	SUB_INDUSTRY	SQ_FT	LAT	LNG	ADDRESS	STATE	ZIP_CODE
61	400	Food Sales & Storage	Grocer/Market	24050	34.012442799999995	-117.76486640000002	1890 Chino Ave, Chino Hills, CA 91709, USA	CA	91709
62	401	Food Sales & Storage	Grocer/Market	26721	33.81528003	-117.53437	1868 Comarago Ct, Corona, CA 92883, USA	CA	92883
63	404	Food Sales & Storage	Grocer/Market	74493	40.66385677	-73.6153218	1589 Wadsworth Pl, Baldwin, NY 11510, USA	NY	11510
64	427	Food Sales & Storage	Grocer/Market	36760	34.45936366	-117.4634315	9122 Smith Rd, Phelan, CA 92371, USA	CA	92371
65	454	Food Sales & Storage	Grocer/Market	46697	33.69197248	-118.0257395	5892 Midway Dr, Huntington Beach, CA 92648, USA	CA	92648
66	455	Food Sales & Storage	Grocer/Market	42704	33.74882211	-117.0801213	Homeland, CA 92548, USA	CA	92548
67	472	Food Sales & Storage	Grocer/Market	46503	42.95368979	-72.71016807	19 Pikes Rd, South Newfane, VT 05351, USA	VT	05351
68	474	Food Sales & Storage	Grocer/Market	44594	33.33367945	-117.28773419999999	Unnamed Road, Fallbrook, CA 92028, USA	CA	92028
69	475	Food Sales & Storage	Grocer/Market	21505	33.78885024	-118.33459520000001	2513 Nearcliff St, Torrance, CA 90505, USA	CA	90505
70	478	Food Sales & Storage	Grocer/Market	47257	41.59927972	-72.58562231	211 Cox Rd, Portland, CT 06480, USA	CT	06480
71	484	Food Sales & Storage	Grocer/Market	40590	34.95461612	-118.474401	Pacific Crest Trail, Tehachapi, CA 93561, USA	CA	93561
72	492	Food Sales & Storage	Grocer/Market	54469	40.72433907	-73.25143779	1692 Union Blvd, Bay Shore, NY 11706, USA	NY	11706
73	496	Food Sales & Storage	Grocer/Market	52890	34.84766914	-117.7419882	Unnamed Road, Lancaster, CA 93535, USA	CA	93535
74	512	Food Sales & Storage	Grocer/Market	21980	35.64594568	-118.79785490000002	12906 Granite Rd, Bakersfield, CA 93308, USA	CA	93308
75	648	Light Industrial	Food Processing	20691	34.64348922	-89.28865783	222 Clark Hill Rd, Hickory Flat, MS 38633, USA	MS	38633
76	654	Light Industrial	Food Processing	33596	37.014253100000005	-87.06507281	1440 Slaughter Rd, Lewisburg, KY 42256, USA	KY	42256
77	673	Light Industrial	Food Processing	91304	38.67407233	-75.43989192	23213 Raccoon Ditch Rd, Georgetown, DE 19947, USA	DE	19947
78	674	Light Industrial	Food Processing	12884	38.04768265	-120.97197309999999	24825 E Shelton Rd, Linden, CA 95236, USA	CA	95236
79	690	Light Industrial	Manufacturing	183631	42.20958534	-78.99903042	11942 Pope Rd, Randolph, NY 14772, USA	NY	14772
80	697	Light Industrial	Food Processing	4650	37.22778053	-122.1335847	Saratoga Toll Rd Trail, Boulder Creek, CA 95006, USA	CA	95006
81	703	Light Industrial	Food Processing	117651	44.47177365	-75.61789475	11 Knowlton Farm Rd, Hammond, NY 13646, USA	NY	13646
82	716	Light Industrial	Manufacturing	860258	41.71547771	-87.9332212	9500 S Madison St, Burr Ridge, IL 60527, USA	IL	60527
83	718	Light Industrial	Food Processing	28138	40.52468055	-74.35378623	119 Dorothy Ave, Edison, NJ 08837, USA	NJ	08837
84	731	Light Industrial	Food Processing	6236	41.11320068	-81.70770329999999	566 Eastern Pl Cir, Wadsworth, OH 44281, USA	OH	44281
85	737	Light Industrial	Food Processing	23843	40.44768449	-75.99049611	106 Woodland Dr, Leesport, PA 19533, USA	PA	19533
86	742	Light Industrial	Food Processing	17717	42.06854592	-71.2513348	22 Baker St, Foxborough, MA 02035, USA	MA	02035
87	744	Light Industrial	Food Processing	22383	27.84862487	-82.04801409999999	Pine Crest Rd, Lithia, FL 33547, USA	FL	33547
88	745	Light Industrial	Food Processing	1943	38.52008877	-76.08258013	4946 Maple Dam Rd, Cambridge, MD 21613, USA	MD	21613
89	755	Light Industrial	Manufacturing	225974	43.29647851	-71.72979539	305 Call Rd, Webster, NH 03303, USA	NH	03303
90	761	Light Industrial	Manufacturing	127899	42.10762651	-87.78948284	585 Sunset Ridge Rd, Northfield, IL 60093, USA	IL	60093
91	765	Light Industrial	Other Light Industrial	7394	40.02768022	-80.45340754	T343, Claysville, PA 15323, USA	PA	15323
92	766	Light Industrial	Food Processing	12261	43.00244098	-114.11370009999999	Richfield, ID 83349, USA	ID	83349
93	767	Light Industrial	Food Processing	189836	33.722272100000005	-118.3243791	3430 S Anchovy Ave, San Pedro, CA 90732, USA	CA	90732
94	771	Light Industrial	Food Processing	1821	33.68743829	-112.01195619999999	3268 E Los Gatos Dr, Phoenix, AZ 85050, USA	AZ	85050
95	786	Light Industrial	Food Processing	31727	42.94925552	-112.18400749999999	Unnamed Road, Inkom, ID 83245, USA	ID	83245
96	805	Light Industrial	Food Processing	58421	42.24499761	-71.06051803	133 Lyman Rd, Milton, MA 02186, USA	MA	02186
97	808	Light Industrial	Food Processing	76915	40.40698005	-75.0701837	4695 Toll Gate Rd, New Hope, PA 18938, USA	PA	18938
98	832	Light Industrial	Manufacturing	186614	35.81109974	-89.96906061	1683 H W 148, Luxora, AR 72358, USA	AR	72358
99	887	Light Industrial	Food Processing	381939	38.83195039	-75.82502245	Farm Rd, Denton, MD 21629, USA	MD	21629
