,datetime,predict_TS,predict_residual,predict_value,SITE_ID,value,TS,residual
2731,2012-12-18,528.915972832869,-102.6098400734889,426.3061327593801,224,4227.2657,4242.296312472338,-15.030612472338362
2732,2012-12-19,686.1412594822256,-25.443080864996727,660.6981786172288,224,4268.341300000002,4323.803513844484,-55.46221384448188
2733,2012-12-20,809.4281538155955,98.5268060480545,907.95495986365,224,4195.597800000001,4295.450014119208,-99.85221411920713
2734,2012-12-21,807.9757281827737,-50.38522760136556,757.5905005814082,224,3815.3982000000005,3897.2621869214063,-81.86398692140551
2735,2012-12-22,-982.5956542901833,124.8011944439781,-857.7944598462052,224,2489.9755,1708.5113366466796,781.4641633533204
2736,2012-12-23,-767.6499311504925,-206.26973127517687,-973.9196624256695,224,2361.4134000000004,1453.1537706933616,908.2596293066388
2737,2012-12-24,1250.3799277023334,-707.4036367794009,542.9762909229324,224,2234.8274,3156.5348795882396,-921.7074795882395
2738,2012-12-25,1572.8050693536998,-539.4671606642107,1033.337908689489,224,2228.0137999999997,3183.356412472337,-955.3426124723374
2739,2012-12-26,1947.9754808203998,-123.3271942942311,1824.6482865261687,224,2270.6478,3311.674228130197,-1041.026428130197
2740,2012-12-27,2255.420729667265,1045.835242759648,3301.255972426913,224,3779.793599999999,3347.931614119208,431.86198588079094
2741,2012-12-28,2402.7382015714143,566.0285077024137,2968.766709273828,224,3417.6176000000023,3279.646486921406,137.97111307859655
2742,2012-12-29,723.3826830525088,10.672877570043656,734.0555606225524,224,2478.1086000000005,1059.4711795038222,1418.6374204961783
2743,2012-12-30,1015.2580769016304,-3.9815680244379217,1011.2765088771924,224,2484.920599999999,1206.876335489271,1278.044264510728
2744,2012-12-31,3076.525648419521,247.3541966738429,3323.879845093364,224,2610.4074000000023,2924.8329908127207,-314.4255908127183
2745,2012-11-01,1551.1000175940917,90.55855651980579,1641.6585741138974,228,1630.3127999999974,1607.7373850820031,22.575414917994237
2746,2012-11-02,1469.7463926314608,159.0350372409022,1628.781429872363,228,1673.8757999999987,1521.175398818267,152.70040118173173
2747,2012-11-03,719.0071585777318,-25.56886510949161,693.4382934682402,228,619.0248999999983,649.5905111809061,-30.56561118090781
2748,2012-11-04,667.8287755949223,-286.92788779828356,380.9008877966387,228,557.6213000000012,627.1372108506438,-69.51591085064263
2749,2012-11-05,1488.8078994738373,-22.4522249343978,1466.3556745394396,228,1600.8235,1497.0577206889177,103.76577931108224
2750,2012-11-06,1587.7444211911204,44.968978487039685,1632.7133996781602,228,1077.2033999999999,1604.8741121983512,-527.6707121983515
2751,2012-11-07,1557.4776997613326,42.244592665023355,1599.722292426356,228,1823.9529999999997,1587.3656183237624,236.58738167623727
2752,2012-11-08,1571.8577786880585,232.3022245606915,1804.16000324875,228,1703.0304999999996,1609.883113653433,93.14738634656663
2753,2012-11-09,1495.3738236335869,57.79793645981198,1553.171760093399,228,1711.715599999999,1522.104141675411,189.61145832458814
2754,2012-11-10,750.9146437301073,-126.2388982106023,624.675745519505,228,754.0895000000012,821.8531254666209,-67.76362546661971
2755,2012-11-11,704.161279258467,-142.38394832254917,561.7773309359178,228,615.5914000000006,738.0336679935009,-122.44226799350031
2756,2012-11-12,1527.2801821347052,14.22073112919839,1541.5009132639036,228,1610.213699999999,1598.9699635460602,11.243736453938908
2757,2012-11-13,1629.8347487620244,41.56413223544232,1671.3988809974667,228,1730.971499999998,1707.6423407697794,23.32915923021858
2758,2012-11-14,1603.241246369906,27.679109114465497,1630.9203554843716,228,1633.4776999999979,1671.0601754666186,-37.58247546662079
2759,2012-11-15,1620.9203246401348,63.63414474344531,1684.5544693835802,228,1712.8586999999995,1687.691256510575,25.167443489424556
2760,2012-11-16,1547.6664589900486,68.73076189351798,1616.3972208835667,228,1755.5472999999986,1599.8647559611245,155.68254403887417
2761,2012-11-17,807.7238020386526,43.08156082862643,850.805362867279,228,755.6383999999999,802.8614826094779,-47.223082609477956
2762,2012-11-18,763.5116838165709,-115.27227142738649,648.2394123891844,228,632.3566000000012,626.1565679935014,6.200032006499782
2763,2012-11-19,1586.7687061743388,-2.643507060776977,1584.1251991135618,228,1619.2711999999995,1326.0028492603465,293.268350739653
2764,2012-11-20,1690.82293620644,159.3505934182529,1850.173529624693,228,1707.4737999999966,1261.6384264840658,445.83537351593066
2765,2012-11-21,1665.6677909701345,-8.482723686129633,1657.1850672840048,228,792.8042000000016,1203.020261180905,-410.2160611809034
2766,2012-11-22,1684.2942006187488,-443.1399578933582,1241.1542427253908,228,595.0568000000002,1212.9090422248612,-617.8522422248611
2767,2012-11-23,1611.8014949535655,144.4578055070572,1756.2593004606226,228,588.1214000000001,1122.8654273896964,-534.7440273896962
2768,2012-11-24,873.7890903773833,73.22619551998494,947.0152858973682,228,602.9352999999994,334.0569826094786,268.8783173905208
2769,2012-11-25,829.4154586395496,305.65117508391216,1135.0666337234618,228,601.9256999999993,398.5640537077869,203.3616462922124
2770,2012-11-26,1649.9937219341098,197.9299320173193,1847.923653951429,228,1612.8088999999998,1415.1854635460602,197.62343645393955
2771,2012-11-27,1752.6211022380342,224.77485644205717,1977.3959586800913,228,1741.3398999999986,1675.9453836269222,65.3945163730765
2772,2012-11-28,1725.875344527658,166.02125319430286,1891.896597721961,228,1640.6145999999985,1660.8412183237615,-20.226618323763034
2773,2012-11-29,1742.3280715025494,167.18655639449472,1909.5146278970442,228,1694.6807999999983,1677.5392565105751,17.1415434894231
2774,2012-11-30,1667.3975887309812,73.96569555406562,1741.3632842850468,228,1696.565899999999,1593.708770246839,102.85712975315991
2775,2012-12-01,928.0567935712481,-86.14629916101084,841.9104944102373,228,754.8302000000009,792.0211968951924,-37.19099689519146
2776,2012-12-02,880.2258877097995,-253.12707486063624,627.0988128491633,228,619.1596000000011,729.2759251363578,-110.11632513635675
2777,2012-12-03,1694.8196170894364,-29.214346976062405,1665.605270113374,228,1649.8384999999998,1585.7879778317745,64.05052216822534
2778,2012-12-04,1792.7359735192983,40.22388411712945,1832.9598576364278,228,1685.0520999999983,1688.6796264840655,-3.6275264840670616
2779,2012-12-05,1761.1729923732341,-28.963954971152596,1732.2090374020815,228,1597.6585999999968,1644.4025754666186,-46.74397546662186
2780,2012-12-06,1772.3229665118033,94.14858372328297,1866.4715502350864,228,1673.539299999999,1658.1482279391466,15.39107206085231
